ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ
0.05;-0.01;1.15;2.66;16.73;-2.34
0.03;-0.01;1.19;-0.87;0.82;-2.18
-0.07;0.12;1.20;-0.53;3.28;-0.40
-0.00;0.08;1.13;1.68;-1.19;40.96
0.08;-0.05;1.16;2.63;-0.96;64.66
0.14;-0.11;1.12;2.73;-2.11;65.83
0.10;-0.18;1.14;-0.95;0.24;2.41
0.06;-0.02;1.15;-1.25;1.39;-2.38
0.05;-0.02;1.14;-1.07;0.76;-2.24
0.05;-0.01;1.15;-1.05;0.03;-2.52
0.06;-0.02;1.14;-0.79;1.82;-2.46
0.05;-0.02;1.16;-0.92;1.04;-2.69
0.05;-0.02;1.15;-0.98;0.69;-2.21
0.06;-0.02;1.15;-1.10;1.65;-2.43
0.06;-0.01;1.14;-1.21;1.30;-2.55
0.05;-0.02;1.14;-0.93;1.57;-2.34
0.02;-0.04;1.12;-1.02;2.78;-5.97
-0.04;-0.15;1.17;-8.02;0.14;-94.31
0.16;0.13;1.14;-4.37;0.69;-38.40
0.07;-0.01;1.14;-1.83;2.60;-25.48
0.06;-0.01;1.14;-1.57;2.89;-18.84
0.06;-0.01;1.14;-2.37;-0.12;-14.40
0.07;-0.01;1.14;-1.86;0.90;-12.17
0.06;-0.02;1.15;-1.74;1.79;-8.84
0.05;-0.02;1.15;-1.18;1.40;-8.69
0.04;-0.02;1.14;-1.21;2.23;-8.85
0.06;0.01;1.15;-0.92;4.84;-13.89
0.05;0.03;1.14;-0.61;5.79;-19.31
0.04;-0.05;1.15;-1.36;1.91;-11.59
0.05;-0.03;1.15;-0.66;2.63;-4.40
0.04;-0.01;1.15;-0.82;2.78;-4.11
0.05;-0.02;1.15;-0.93;1.53;-2.29
0.05;-0.02;1.16;-1.19;0.38;-2.43
0.06;-0.02;1.13;-0.47;3.65;-2.67
0.05;-0.03;1.15;0.21;8.66;-1.68
0.02;-0.05;1.15;1.42;1.34;32.05
0.11;0.05;1.13;-1.94;-9.36;17.44
0.05;-0.02;1.15;0.21;4.35;-2.00
0.05;-0.01;1.15;-1.15;0.84;-1.94
0.05;0.04;1.15;0.66;6.46;1.80
0.06;-0.01;1.15;0.32;3.62;5.42
0.07;-0.06;1.13;-2.35;-3.95;-2.41
0.05;-0.02;1.15;-1.16;0.34;-2.15
0.05;-0.02;1.14;-1.42;-0.02;-2.15
0.07;-0.02;1.12;-1.10;0.44;-2.64
0.05;-0.02;1.15;-0.99;1.54;-2.47
0.05;-0.02;1.14;-0.31;2.17;-2.60
0.06;-0.06;1.13;-0.47;4.87;-13.89
0.05;-0.02;1.15;-1.01;1.54;-2.31
0.05;-0.02;1.15;-1.28;1.10;-2.38
0.05;-0.01;1.14;-1.16;0.76;-2.75
0.05;-0.02;1.14;-1.40;1.15;-2.37
0.05;-0.01;1.15;-0.93;0.73;-2.31
0.06;-0.02;1.15;-1.27;0.53;-2.29
0.05;-0.01;1.14;-0.95;0.46;-2.05
0.05;-0.02;1.15;-1.08;0.49;-2.26
0.05;-0.02;1.14;-1.34;0.52;-2.49
0.05;-0.01;1.14;-1.04;1.08;-2.69
0.05;-0.01;1.15;-0.90;1.42;-2.27
0.06;-0.02;1.15;-1.27;1.68;-2.49
0.05;-0.01;1.14;-0.76;2.09;-2.29
0.05;-0.02;1.15;-0.82;1.65;-2.66
0.05;-0.02;1.15;-1.21;1.57;-2.56
0.04;-0.01;1.15;-0.99;1.45;-2.40
0.05;-0.01;1.15;-1.16;1.44;-1.98
0.05;-0.02;1.15;-1.21;1.11;-2.31
0.05;-0.01;1.15;-0.84;1.51;-2.32
0.05;-0.02;1.14;-0.73;1.33;-2.49
0.04;-0.01;1.14;-0.82;1.31;-2.34
0.05;-0.01;1.15;-1.10;1.18;-2.66
0.05;-0.01;1.15;-1.11;0.47;-2.23
0.06;-0.02;1.14;-1.08;0.95;-1.79
0.05;-0.02;1.15;-1.02;1.13;-2.21
0.05;-0.02;1.16;-1.11;1.15;-2.44
0.05;-0.01;1.15;-1.08;0.99;-2.53
0.06;-0.02;1.15;-1.40;-0.23;-2.43
0.05;-0.02;1.15;-1.13;0.90;-2.38
0.05;-0.02;1.14;-2.02;-2.60;-2.32
0.05;-0.02;1.15;-1.31;1.01;-2.31
0.05;-0.02;1.16;-1.34;0.82;-2.60
0.05;-0.02;1.14;-1.02;0.34;-2.14
0.05;-0.02;1.15;-1.22;0.15;-2.55
0.06;-0.02;1.15;-1.44;0.41;-2.70
0.04;-0.02;1.15;-1.15;0.76;-2.38
0.05;-0.02;1.14;-1.01;1.05;-2.40
0.05;-0.02;1.15;-0.75;1.08;-2.00
0.05;-0.02;1.14;-1.07;0.95;-2.20
0.05;-0.03;1.15;-0.89;1.74;-2.55
0.05;0.02;1.15;-1.25;0.50;-1.59
0.05;-0.01;1.14;-1.05;1.94;-2.09
0.05;-0.02;1.15;-1.13;0.00;-2.12
0.06;-0.02;1.14;-1.44;0.15;-2.55
0.06;-0.01;1.14;-1.16;0.29;-2.70
0.05;-0.02;1.14;-1.66;-0.82;-2.31
0.06;-0.02;1.15;-2.05;-1.37;-2.26
0.04;-0.02;1.16;-1.05;1.60;-2.15
0.05;-0.02;1.15;-1.36;0.69;-2.08
0.04;-0.01;1.16;-3.07;-6.35;-1.80
0.05;-0.02;1.16;-1.51;0.05;-2.27
0.06;-0.01;1.15;-1.18;1.34;-2.44
0.06;-0.02;1.15;-0.81;0.79;-2.12
0.06;-0.02;1.14;-0.98;1.31;-2.38
0.06;-0.02;1.14;-1.07;1.19;-2.61
0.06;-0.02;1.15;-0.79;1.94;-2.31
0.06;-0.02;1.14;-0.63;1.69;-2.40
0.05;-0.02;1.14;-1.02;1.22;-2.21
0.05;-0.02;1.16;-1.25;0.78;-2.43
0.04;-0.04;1.14;-1.02;3.01;-10.55
0.06;-0.01;1.14;-0.60;2.38;-4.52
0.05;-0.02;1.15;-1.02;1.13;-4.53
0.06;-0.00;1.15;-1.62;0.93;-7.21
0.04;0.01;1.17;-1.97;2.89;-20.92
0.06;-0.02;1.15;-1.25;0.11;-4.44
0.05;-0.02;1.15;-0.99;1.77;-3.74
0.06;-0.01;1.13;-0.69;3.63;-3.45
0.05;-0.01;1.15;-0.63;2.38;-2.66
0.06;-0.01;1.15;-0.87;1.88;-2.58
0.05;-0.02;1.15;-0.66;2.79;-2.70
0.05;-0.02;1.15;-0.90;1.77;-2.63
0.05;-0.01;1.14;-1.31;0.56;-2.31
0.05;-0.02;1.15;-0.96;0.21;-2.15
0.05;-0.02;1.14;-1.11;0.37;-2.40
0.05;-0.02;1.14;-1.08;1.19;-2.20
0.04;-0.02;1.15;-1.28;1.13;-2.38
0.04;-0.04;1.14;-1.16;2.66;-6.98
0.06;-0.02;1.15;-1.63;0.60;-5.01
0.06;-0.01;1.14;-1.51;0.49;-5.02
0.05;-0.04;1.14;-1.48;0.09;-5.37
0.06;0.02;1.16;-2.49;-0.06;-16.03
0.05;-0.01;1.15;-1.89;0.26;-13.45
0.05;-0.00;1.15;-1.62;0.85;-5.45
0.06;-0.02;1.14;-1.13;1.18;-2.20
0.06;-0.02;1.14;-1.16;1.18;-2.58
0.05;-0.02;1.14;-1.04;1.31;-2.27
0.05;-0.01;1.15;-1.16;0.96;-2.38
0.05;-0.02;1.15;-1.22;0.64;-2.67
0.05;-0.02;1.15;-1.22;0.96;-2.27
0.05;-0.01;1.14;-1.16;0.72;-2.63
0.06;-0.02;1.14;-1.39;0.20;-5.33
0.05;-0.01;1.14;-1.18;0.60;-5.01
0.05;-0.01;1.15;-1.34;0.58;-4.52
0.05;-0.02;1.15;-1.62;1.34;-8.63
0.05;-0.01;1.15;-3.42;0.26;-33.25
0.05;-0.03;1.14;-3.51;1.13;-33.31
0.05;-0.00;1.15;-3.69;0.70;-38.44
0.05;-0.02;1.15;-3.82;0.58;-30.14
0.03;-0.01;1.16;-1.66;0.27;-16.32
0.06;-0.02;1.14;-1.34;1.45;-5.53
0.06;-0.02;1.14;-0.98;1.68;-2.40
0.05;-0.02;1.15;-0.23;2.60;-2.75
0.05;-0.02;1.16;-0.58;2.78;-2.18
0.04;-0.02;1.15;-1.01;2.20;-2.69
0.06;-0.02;1.16;-0.55;2.11;-2.56
0.05;-0.02;1.15;-0.85;3.34;-2.46
0.05;-0.02;1.16;-0.38;3.92;-2.72
0.02;-0.12;1.15;-0.55;4.17;-1.94
0.11;-0.11;1.13;2.73;16.84;-8.67
0.03;-0.04;1.15;3.88;22.32;-9.51
-0.05;-0.12;1.18;2.17;9.42;8.66
0.01;-0.17;1.13;0.43;-0.78;28.38
-0.00;-0.13;1.22;-0.69;1.98;22.12
0.01;-0.13;1.12;1.53;0.00;24.61
0.02;-0.11;1.23;-0.47;5.44;-10.09
0.04;-0.14;1.16;-0.60;1.05;-12.34
0.06;-0.18;1.08;-1.63;-0.82;-6.60
0.08;-0.12;1.16;-3.22;-2.53;-5.71
0.16;-0.22;1.12;-2.64;-1.13;-20.76
0.10;-0.15;1.11;-3.37;3.40;-43.25
0.05;-0.15;1.17;-3.83;2.82;-48.41
0.10;-0.12;1.10;-5.39;3.56;-75.33
-0.07;-0.01;1.14;-4.64;2.29;-57.59
-0.01;0.01;1.16;-3.63;1.82;-27.28
0.12;-0.00;1.15;-4.29;1.45;-41.07
0.04;0.02;1.19;-4.12;1.27;-40.11
0.04;0.01;1.11;-3.56;2.17;-31.15
0.08;0.01;1.08;-2.79;0.17;-23.08
0.06;0.05;1.15;-2.69;-1.33;-19.65
0.02;0.10;1.18;-3.39;-0.21;-13.22
-0.02;0.10;1.20;-1.77;-1.16;-1.30
0.11;0.13;1.12;-0.46;-1.76;1.51
0.11;0.13;1.07;-1.47;-0.75;-3.36
-0.01;0.24;1.21;-0.84;3.94;-0.63
0.10;0.21;1.07;-1.21;3.48;4.79
0.03;0.17;1.20;-1.22;-1.44;16.00
0.06;0.14;1.13;-1.22;0.43;7.50
0.07;0.09;1.15;-1.47;-0.53;1.36
0.04;-0.02;1.14;-1.59;-1.60;-2.14
0.05;-0.01;1.15;-1.97;-2.47;-2.29
0.04;-0.02;1.15;-2.27;-2.24;-2.32
0.04;-0.02;1.15;-2.56;-3.25;-1.74
0.06;-0.02;1.14;-2.06;-2.43;-1.40
0.05;-0.02;1.14;-1.36;0.55;-2.32
0.05;-0.02;1.15;-1.05;1.71;-2.26
0.05;-0.01;1.15;-1.98;-2.85;0.84
0.05;-0.02;1.15;-2.38;-3.95;1.79
0.02;0.00;1.21;0.81;-4.93;45.28
0.08;-0.03;1.13;-1.68;-3.39;8.82
0.04;-0.01;1.19;-0.31;7.74;-2.72
0.05;-0.02;1.14;-1.65;0.27;-2.21
0.05;-0.02;1.15;-0.73;3.73;-2.38
0.05;-0.02;1.14;-1.33;0.44;-2.46
0.05;-0.02;1.15;-1.39;0.69;-2.12
0.05;-0.02;1.15;-1.16;0.90;-2.29
0.05;-0.01;1.14;-1.33;0.38;-2.38
0.05;-0.02;1.15;-0.95;2.12;-1.86
0.05;-0.02;1.14;-1.19;1.71;-1.92
0.05;-0.01;1.14;-0.75;2.78;-1.08
0.05;0.00;1.15;-2.96;-13.76;12.05
0.04;-0.03;1.15;2.12;12.21;15.91
0.05;-0.02;1.14;-1.31;0.76;-2.03
0.05;-0.02;1.14;-0.76;3.63;-2.41
0.04;-0.02;1.15;-1.40;-1.07;-2.27
0.06;-0.02;1.15;-1.01;0.02;-2.24
0.05;-0.02;1.15;-0.96;-0.18;-2.12
0.06;-0.02;1.15;-0.09;2.99;-2.76
0.06;-0.05;1.12;0.72;-5.76;41.15
0.05;0.00;1.14;-0.84;-0.75;1.68
0.06;-0.01;1.14;0.02;1.39;-2.20
0.05;-0.01;1.14;0.58;6.29;-2.75
0.05;-0.02;1.14;0.34;4.58;-2.56
0.05;-0.02;1.14;0.34;4.75;-2.12
0.04;-0.02;1.15;0.12;3.97;-2.72
0.05;-0.01;1.13;-0.24;2.49;-2.34
0.05;-0.01;1.15;-0.61;2.96;-2.49
0.05;-0.02;1.14;-0.12;2.26;-2.37
0.07;-0.08;1.15;-0.43;2.27;-5.34
0.05;-0.21;1.18;-3.74;3.01;-59.69
0.05;-0.34;1.10;-4.12;4.11;-69.39
-0.03;-0.31;1.20;-2.23;5.74;-48.73
0.07;-0.30;1.13;-1.56;6.14;-20.61
0.10;-0.31;1.10;-1.31;3.19;-8.79
0.09;-0.28;1.20;-0.89;1.97;-4.40
0.03;-0.19;1.19;-0.73;5.27;-17.37
0.01;-0.17;1.23;-0.89;1.62;-18.26
0.10;-0.21;1.11;-2.99;1.11;-13.95
0.13;-0.20;1.04;-6.49;-4.44;-22.52
0.15;-0.08;1.06;-4.11;-2.18;-20.73
0.09;0.01;1.19;-3.98;0.78;-30.96
-0.06;0.09;1.15;-2.12;1.79;-11.36
-0.05;0.20;1.20;-0.84;2.93;-2.12
-0.15;0.39;1.20;-3.69;-4.17;-8.32
-0.03;0.29;1.13;0.09;1.13;31.07
0.03;0.27;1.17;1.65;4.73;28.79
-0.07;0.26;1.18;-0.18;4.63;13.56
-0.02;0.28;1.15;0.40;3.44;31.59
0.08;0.29;1.14;0.43;2.84;31.08
0.09;0.18;1.17;0.61;1.24;16.15
0.08;0.05;1.15;-1.15;1.22;4.85
0.04;-0.01;1.14;-1.69;-0.23;-2.29
0.04;-0.02;1.15;-1.08;0.34;-2.52
0.04;-0.02;1.14;-2.18;-1.80;-2.50
0.05;-0.02;1.15;-2.99;-2.84;-2.27
0.05;-0.02;1.15;-2.67;-3.34;-2.44
0.04;-0.02;1.15;-2.06;-0.78;-2.60
0.04;-0.02;1.15;-1.66;0.52;-2.55
0.04;-0.01;1.15;-0.90;1.10;-2.26
0.05;-0.02;1.16;-1.56;0.44;-2.34
0.04;-0.02;1.15;-1.57;-0.37;-2.55
0.05;-0.02;1.14;-1.34;0.93;-2.14
0.05;-0.02;1.14;-1.57;1.19;-2.31
0.04;-0.02;1.14;-1.25;1.28;-2.34
0.05;-0.02;1.14;-1.40;0.47;-2.38
0.04;-0.02;1.14;-1.47;0.55;-2.40
0.05;-0.02;1.13;-1.18;1.54;-2.49
0.05;-0.02;1.14;-0.99;1.62;-2.32
0.04;-0.02;1.15;-0.81;0.64;-2.49
0.05;-0.02;1.14;-0.37;3.30;-2.63
0.04;-0.02;1.15;-0.52;4.61;-2.14
0.04;-0.02;1.16;0.11;5.59;-2.47
0.04;-0.02;1.15;-1.22;0.46;-2.26
0.04;-0.01;1.14;-1.57;-0.06;-2.79
0.04;-0.02;1.14;-1.47;-0.15;-2.27
0.04;-0.02;1.14;-1.60;0.17;-2.05
0.05;-0.01;1.14;-2.14;-0.69;-2.14
0.04;-0.02;1.16;-1.53;-0.72;-2.31
0.04;-0.02;1.14;-1.51;0.20;-2.67
0.05;-0.01;1.15;-1.25;0.85;-2.81
0.04;-0.02;1.15;-1.15;1.30;-2.49
0.05;-0.02;1.14;-1.28;-0.32;-2.56
0.05;-0.01;1.14;-1.37;0.99;-2.64
0.05;-0.02;1.14;-0.64;1.74;-2.37
0.04;-0.02;1.15;-1.30;0.75;-2.58
0.04;-0.02;1.15;-1.04;0.53;-2.43
0.05;-0.02;1.15;-1.22;0.50;-2.27
0.04;-0.02;1.14;-1.44;0.20;-2.26
0.09;-0.01;1.15;-1.19;2.32;-8.05
0.01;-0.03;1.15;-0.53;4.27;-13.95
0.05;-0.00;1.16;-2.20;0.03;-12.66
0.05;0.00;1.15;-1.08;1.18;-8.79
0.03;-0.01;1.15;-1.25;2.27;-8.20
0.03;0.03;1.15;-1.74;1.34;-7.31
0.04;-0.01;1.16;-0.99;1.63;-4.46
0.04;0.02;1.13;-1.11;1.91;-5.19
0.03;-0.00;1.15;-0.76;1.42;-3.30
0.02;-0.01;1.16;-1.69;-0.66;1.59
0.03;-0.02;1.15;-0.72;0.29;5.45
0.05;-0.00;1.15;-0.55;1.80;2.92
0.05;-0.06;1.17;-0.43;2.23;-1.36
0.04;-0.02;1.14;-0.81;1.30;1.98
0.03;-0.01;1.16;-1.04;-0.50;1.98
0.05;-0.00;1.14;-0.87;1.89;1.68
0.04;0.00;1.13;-0.82;0.75;-1.33
0.04;-0.01;1.17;-0.64;0.35;-1.47
0.05;-0.02;1.15;-0.99;1.57;-3.50
0.04;-0.01;1.14;-1.33;0.92;-4.72
0.04;-0.01;1.16;-1.95;0.92;-4.81
0.02;-0.01;1.16;-1.27;1.22;-4.14
0.05;0.03;1.11;-1.15;2.09;-4.02
0.05;-0.04;1.14;-0.89;-0.41;-4.49
0.03;-0.00;1.15;-0.90;1.30;-3.73
0.04;-0.02;1.15;-1.63;1.08;-1.57
0.04;-0.01;1.14;-1.62;1.10;-1.13
0.04;0.00;1.17;-0.56;0.03;1.85
0.06;-0.02;1.15;-0.47;0.75;0.67
0.03;-0.04;1.14;-0.64;1.57;-0.93
0.05;0.01;1.15;-0.61;2.03;-3.54
0.04;-0.05;1.13;-0.81;-0.14;0.67
0.03;-0.03;1.18;-1.07;0.47;1.11
0.04;-0.00;1.14;-0.75;3.04;-3.24
0.05;0.01;1.14;-0.35;1.37;-4.21
0.03;0.01;1.16;-1.19;2.29;-1.91
0.04;-0.00;1.16;-0.17;0.17;0.87
0.04;-0.01;1.16;-0.64;3.45;-1.07
0.01;0.00;1.18;-0.90;1.59;-3.02
0.02;0.01;1.14;-0.98;0.81;1.16
0.05;-0.03;1.15;-0.44;0.15;4.52
0.04;0.02;1.16;0.47;0.64;3.01
0.01;-0.00;1.20;-0.27;1.04;2.50
0.04;0.04;1.16;-0.78;2.70;-1.57
0.08;0.00;1.11;-1.33;-0.53;-5.71
0.02;0.05;1.18;-0.58;1.92;-12.32
0.03;0.03;1.15;-1.01;-2.09;-4.52
0.08;0.08;1.12;-0.44;1.86;-6.08
0.10;0.06;1.10;-1.47;3.05;-21.07
0.04;0.07;1.12;-1.02;1.44;-17.04
0.02;0.09;1.15;-0.26;0.69;-2.09
0.07;0.06;1.18;-0.82;1.16;-2.17
0.13;0.01;1.12;-1.69;-0.38;-12.70
-0.01;0.03;1.18;-1.02;0.46;-10.20
-0.07;0.11;1.16;-0.03;-0.05;15.08
0.16;0.16;1.12;-0.66;1.37;3.19
0.06;0.18;1.18;0.21;0.64;-7.65
-0.00;0.31;1.14;-0.84;2.12;-6.40
0.11;0.24;1.08;-0.06;-0.24;0.35
-0.06;0.26;1.16;1.11;2.12;16.32
0.02;0.13;1.12;2.12;-2.03;32.32
0.04;0.11;1.14;1.74;3.15;38.84
0.12;0.05;1.17;1.22;2.20;17.89
0.08;0.00;1.18;1.05;0.98;3.21
0.02;0.02;1.18;0.58;-0.82;9.39
0.04;-0.05;1.12;1.08;3.92;19.08
0.05;-0.08;1.11;1.83;4.12;18.92
0.04;-0.08;1.13;1.65;2.95;13.71
-0.02;-0.21;1.18;1.98;3.79;17.18
-0.03;-0.28;1.20;0.56;1.60;8.98
-0.11;-0.20;1.17;1.45;-0.26;17.08
0.01;-0.34;1.12;1.19;1.15;30.05
0.02;-0.40;1.17;0.87;2.55;24.89
0.13;-0.48;1.19;-1.04;-1.73;-3.79
0.02;-0.39;1.18;-2.82;-1.68;-34.70
-0.03;-0.37;1.16;-3.88;-3.88;-13.88
-0.07;-0.25;1.18;-2.00;-1.79;7.56
0.05;-0.13;1.15;-1.47;0.56;3.44
0.07;-0.01;1.12;-0.67;1.71;-2.49
0.02;-0.01;1.14;-0.50;2.20;-1.53
-0.02;-0.01;1.15;1.69;4.26;20.21
0.13;-0.01;1.16;-0.79;1.44;4.55
0.03;-0.00;1.15;-1.50;0.14;-2.49
0.03;-0.01;1.15;-1.79;-0.27;-2.34
0.04;-0.01;1.16;-1.62;-0.12;-2.61
0.04;-0.01;1.16;-1.47;1.37;-2.14
0.04;-0.01;1.15;-1.07;1.97;-2.47
-0.04;0.00;1.15;1.66;6.69;6.78
0.01;-0.02;1.15;0.92;4.31;13.85
0.06;-0.01;1.15;-0.37;1.79;14.27
0.06;-0.01;1.15;-0.70;1.30;8.60
0.04;-0.01;1.14;-0.66;1.33;4.92
0.04;-0.01;1.14;-0.49;1.47;2.56
0.04;-0.01;1.15;-0.46;1.77;1.60
0.04;-0.01;1.15;-0.32;2.29;1.22
0.04;-0.02;1.15;-1.07;1.47;0.21
0.04;-0.02;1.15;-0.43;2.12;-0.41
0.05;-0.00;1.14;-0.55;2.08;-1.73
0.04;-0.02;1.15;-0.12;2.72;-2.35
0.02;-0.03;1.15;1.28;5.25;-2.69
0.04;-0.02;1.14;1.02;4.35;-2.90
0.04;-0.03;1.14;1.22;5.22;-6.95
0.04;-0.01;1.15;-0.89;2.27;-7.15
0.01;-0.03;1.15;-0.95;0.89;-1.53
0.04;-0.02;1.15;-1.44;-0.92;-0.43
0.08;-0.09;1.14;-5.18;-6.02;-10.26
0.08;-0.11;1.14;-6.79;-5.48;-23.34
-0.02;-0.04;1.17;-4.41;-2.17;-25.05
0.02;-0.04;1.14;-2.37;2.46;-22.61
-0.01;-0.02;1.17;-1.07;1.68;-7.98
0.04;-0.05;1.16;0.21;4.40;-5.91
0.03;-0.02;1.12;-0.76;3.02;-6.98
0.05;-0.09;1.15;-2.06;0.14;-10.32
0.05;-0.04;1.13;-2.66;0.29;-16.44
0.02;-0.01;1.16;-2.24;0.61;-12.05
0.03;-0.03;1.17;-0.73;1.33;-3.53
0.09;-0.03;1.09;-1.42;2.27;-5.57
0.06;-0.05;1.19;-1.68;-1.30;-14.14
0.08;-0.06;1.10;-1.53;-3.15;-13.07
0.00;-0.06;1.18;-2.92;2.66;-5.85
0.06;-0.04;1.08;-2.89;-3.31;-1.73
0.05;-0.06;1.12;-3.34;-1.15;0.03
0.09;-0.05;1.08;-2.38;-2.00;0.56
0.05;-0.06;1.18;-2.87;-3.98;-8.96
0.01;-0.04;1.21;-2.70;-0.79;-13.62
0.03;-0.03;1.11;-3.02;-0.34;-7.44
0.02;-0.09;1.23;-2.58;-2.43;-7.86
0.12;-0.10;1.08;-2.63;0.34;-15.56
0.10;-0.13;1.08;-3.11;-2.92;-24.70
0.06;-0.13;1.11;-2.79;2.52;-30.43
0.04;-0.07;1.18;-3.83;-2.93;-31.92
0.13;0.10;1.16;-3.50;-1.37;-24.56
0.05;0.30;1.17;-3.80;-0.37;-24.27
-0.08;0.62;1.17;-1.71;0.90;-16.21
0.07;-0.02;1.15;0.37;6.14;-3.50
0.23;0.75;1.14;-7.28;-0.03;-85.62
-0.16;0.50;1.13;-2.79;1.71;-49.33
-0.13;0.30;1.17;-0.67;3.16;7.97
-0.05;-0.09;1.13;1.19;3.66;27.88
-0.04;-0.27;1.13;2.17;2.41;55.10
0.13;-0.45;1.17;3.04;0.66;67.73
0.30;-0.54;1.17;0.95;0.50;31.91
0.07;-0.35;1.16;-0.81;1.24;-0.92
0.02;-0.02;1.15;-0.32;3.19;0.99
-0.10;-0.12;1.15;1.25;0.40;40.47
0.11;-0.21;1.15;2.89;-0.15;58.89
0.12;-0.10;1.20;-0.20;-0.43;7.25
0.07;0.02;1.16;-0.96;1.71;-10.50
0.03;0.00;1.18;-1.73;2.26;-15.22
0.04;-0.04;1.18;-2.41;-0.49;-30.76
0.05;-0.05;1.08;-2.23;-1.16;-24.46
0.04;-0.05;1.19;-1.83;1.04;-18.63
0.04;-0.08;1.18;-1.44;1.57;-23.13
0.02;-0.01;1.17;-2.20;3.57;-34.55
-0.06;0.06;1.22;-1.62;0.81;-18.12
0.04;-0.02;1.15;-1.02;1.44;-5.51
0.00;0.01;1.24;-1.86;1.85;-10.08
0.08;-0.04;1.12;-1.76;-0.24;-13.22
0.01;-0.03;1.14;-2.03;2.76;-13.39
0.06;0.01;1.09;-2.14;1.89;-9.73
0.10;-0.05;1.08;-1.88;2.03;-12.14
0.08;-0.08;1.04;-1.98;-0.02;-13.08
-0.05;-0.01;1.23;-1.59;-0.03;-15.13
0.03;-0.04;1.21;-1.59;-0.26;-13.19
0.09;-0.02;1.08;-1.71;0.49;-15.42
0.08;-0.10;1.09;-2.37;-0.02;-14.72
0.08;-0.01;1.13;-2.76;1.45;-21.57
0.03;-0.04;1.10;-2.32;-0.96;-19.60
-0.01;-0.01;1.20;-2.26;0.99;-13.68
0.02;-0.02;1.20;-2.78;1.45;-12.26
0.02;-0.02;1.18;-2.26;1.95;-12.52
0.11;-0.05;1.06;-2.14;4.27;-16.00
0.09;-0.06;1.03;-1.31;0.79;-13.80
0.04;-0.07;1.09;-2.09;0.53;-11.04
0.04;-0.11;1.15;-2.50;0.84;-11.37
0.03;-0.14;1.21;-1.82;-1.25;-8.11
0.12;-0.05;1.15;-3.21;0.18;-10.66
0.13;-0.17;1.11;-3.69;0.29;-23.34
0.07;-0.03;1.08;-3.40;-0.98;-28.69
-0.02;0.04;1.06;-1.91;2.46;-12.44
-0.06;0.21;1.21;-0.35;1.25;12.66
0.03;0.47;1.22;0.15;0.46;19.89
0.08;0.64;1.16;-0.79;0.05;-8.08
0.38;0.96;1.11;-5.56;-6.15;-35.83
0.08;0.69;1.18;-3.31;-0.82;-57.36
0.01;0.56;1.13;-0.79;2.66;-28.17
-0.09;0.16;1.13;1.97;6.99;3.88
-0.13;-0.15;1.18;0.92;2.40;24.95
0.00;-0.44;1.14;1.16;0.69;36.72
-0.02;-0.59;1.18;0.43;-0.23;33.22
0.07;-0.57;1.18;0.49;3.80;34.96
0.06;-0.50;1.13;0.85;5.82;23.73
0.06;-0.12;1.15;0.52;5.88;-1.44
